year,mecca_avg_temp,moving_avg_mecca,global_tem,moving_avg_global,
1843,25.16,,8.72,,
1844,19.05,,7.98,,
1845,22.46,,5.78,,
1846,25.605,,8.39,,
1847,25.605,,8.47,,
1848,25.605,,8.36,,
1849,25.605,,8.85,,
1850,25.605,,9.02,,
1851,25.605,,6.74,,
1852,25.605,,7.99,,
1853,25.605,,7.19,,
1854,25.605,,8.77,,
1855,25.605,,8.61,,
1856,25.605,24.88035714,7.5,8.026428571,
1857,25.605,24.91214286,8.4,8.003571429,
1858,25.605,25.38035714,8.25,8.022857143,
1859,25.605,25.605,8.41,8.210714286,
1860,25.605,25.605,8.22,8.198571429,
1861,23.98,25.48892857,6.78,8.077857143,
1862,24.13,25.38357143,7.69,8.03,
1863,22.87,25.18821429,7.69,7.947142857,
1864,25.43,25.17571429,7.85,7.863571429,
1865,25.6,25.17535714,8.19,7.967142857,
1866,25.42,25.16214286,8.22,7.983571429,
1867,25.62,25.16321429,8.77,8.096428571,
1868,25.3,25.14142857,9.18,8.125714286,
1869,25.65,25.14464286,8.3,8.103571429,
1870,25.35,25.12642857,8.26,8.157857143,
1871,24.97,25.08107143,8.54,8.167857143,
1872,25.2,25.05214286,8.98,8.22,
1873,25.57,25.04964286,9.43,8.292857143,
1874,25.32,25.02928571,8.1,8.284285714,
1875,24.53,25.06857143,7.9,8.364285714,
1876,25.13,25.14,7.68,8.363571429,
1877,25.81,25.35,7.86,8.375714286,
1878,25.94,25.38642857,7.36,8.340714286,
1879,25.57,25.38428571,8.26,8.345714286,
1880,25.42,25.38428571,8.03,8.332142857,
1881,26.06,25.41571429,8.45,8.309285714,
1882,25.09,25.40071429,8.33,8.248571429,
1883,25.36,25.38,7.98,8.225714286,
1884,25.03,25.35714286,8.23,8.223571429,
1885,25.33,25.38285714,8.09,8.191428571,
1886,25.13,25.37785714,8.23,8.137857143,
1887,25.08,25.34285714,8.53,8.073571429,
1888,25.21,25.335,8.35,8.091428571,
1889,25.88,25.43142857,8.27,8.117857143,
1890,25.79,25.47857143,8.51,8.177142857,
1891,25.88,25.48357143,8.67,8.235,
1892,25.39,25.44428571,8.51,8.317142857,
1893,25.42,25.43357143,8.48,8.332857143,
1894,25,25.40357143,8.59,8.372857143,
1895,24.96,25.325,8.58,8.382142857,
1896,25.24,25.33571429,8.5,8.394285714,
1897,25.27,25.32928571,8.84,8.455714286,
1898,25.59,25.36928571,8.56,8.479285714,
1899,25.57,25.38642857,8.43,8.503571429,
1900,25.5,25.41285714,8.28,8.507142857,
1901,25.79,25.46357143,7.63,8.442857143,
1902,25.42,25.47857143,7.08,8.352142857,
1903,25.03,25.41785714,6.92,8.255714286,
1904,25.4,25.39,6.86,8.137857143,
1905,25.12,25.33571429,7.05,8.022142857,
1906,25.26,25.32642857,7.74,7.967142857,
1907,24.98,25.295,7.59,7.903571429,
1908,25.23,25.31142857,7.24,7.807142857,
1909,25.95,25.38214286,6.94,7.69,
1910,25.18,25.37785714,6.98,7.581428571,
1911,24.85,25.34785714,7.83,7.509285714,
1912,25.05,25.30928571,7.37,7.424285714,
1913,24.75,25.25071429,7.62,7.366428571,
1914,25.38,25.24214286,8.09,7.352857143,
1915,25.88,25.24857143,8.19,7.392857143,
1916,25.36,25.24428571,7.72,7.438571429,
1917,25.27,25.26142857,8.55,7.555,
1918,25.25,25.25071429,8.39,7.664285714,
1919,26.01,25.31428571,8.36,7.757857143,
1920,25.17,25.30785714,8.81,7.834285714,
1921,25.17,25.32142857,8.17,7.875714286,
1922,25.66,25.35214286,7.94,7.925714286,
1923,25.51,25.32071429,8.52,8.038571429,
1924,25.96,25.37642857,7.64,8.085714286,
1925,25.51,25.42357143,7.45,8.058571429,
1926,25.53,25.45785714,8.01,8.104285714,
1927,25.82,25.53428571,8.15,8.142142857,
1928,26.05,25.58214286,7.39,8.092142857,
1929,25.92,25.585,7.7,8.057142857,
1930,25.76,25.61357143,7.38,8.032857143,
1931,25.9,25.65857143,7.51,7.958571429,
1932,25.45,25.67285714,7.63,7.904285714,
1933,25.21,25.61571429,7.8,7.864285714,
1934,25.53,25.64142857,7.69,7.784285714,
1935,25.9,25.69357143,8.02,7.773571429,
1936,25.75,25.7,8.17,7.79,
1937,25.61,25.70714286,7.65,7.727857143,
1938,25.31,25.66071429,7.85,7.742857143,
1939,25.72,25.67571429,8.55,7.821428571,
1940,25.92,25.70357143,8.09,7.827142857,
1941,26,25.71642857,7.98,7.815,
1942,26.07,25.71785714,7.98,7.857142857,
1943,25.21,25.66714286,7.9,7.871428571,
1944,25.85,25.67357143,8.18,7.928571429,
1945,25.69,25.65857143,8.1,7.970714286,
1946,25.65,25.67285714,8.04,8,
1947,26.13,25.73857143,8.21,8.029285714,
1948,25.11,25.70857143,8.11,8.059285714,
1949,25.11,25.65214286,8,8.057857143,
1950,25.89,25.66214286,7.76,8.028571429,
1951,25.96,25.68714286,8.1,8.060714286,
1952,26.31,25.75857143,8.25,8.089285714,
1953,26.15,25.78928571,7.96,8.047142857,
1954,26.16,25.80642857,7.85,8.03,
1955,25.65,25.78142857,7.56,8,
1956,25.66,25.75214286,8.11,8.009285714,
1957,25.51,25.77357143,7.98,8.015,
1958,26.29,25.805,8.18,8.015,
1959,25.26,25.77428571,8.29,8.028571429,
1960,26.33,25.82285714,8.44,8.057142857,
1961,25.87,25.80428571,8.25,8.06,
1962,26.11,25.87571429,8.43,8.082857143,
1963,26.1,25.94642857,8.2,8.097142857,
1964,25.44,25.91428571,8.12,8.122857143,
1965,25.76,25.9,8.19,8.129285714,
1966,26.19,25.89142857,8.35,8.136428571,
1967,25.33,25.83285714,8.43,8.17,
1968,25.26,25.76857143,7.86,8.170714286,
1969,26.09,25.8,8.08,8.207857143,
1970,25.92,25.81857143,8.54,8.238571429,
1971,24.96,25.77928571,8.83,8.299285714,
1972,25.53,25.725,8.17,8.298571429,
1973,25.98,25.77642857,8.12,8.286428571,
1974,25.47,25.715,8.27,8.274285714,
1975,25.34,25.67714286,8.13,8.265714286,
1976,25.56,25.63785714,7.98,8.233571429,
1977,26.11,25.63857143,7.77,8.202857143,
1978,26.12,25.68714286,7.92,8.188571429,
1979,26.55,25.74357143,7.95,8.171428571,
1980,26.32,25.75285714,7.91,8.14,
1981,26.19,25.81428571,8.09,8.115714286,
1982,25.04,25.79857143,8.32,8.148571429,
1983,25.4,25.74928571,7.97,8.140714286,
1984,25.19,25.69714286,8.02,8.103571429,
1985,25.36,25.72571429,8.07,8.049285714,
1986,25.64,25.73357143,8.06,8.041428571,
1987,26.35,25.76,8.16,8.044285714,
1988,26.34,25.82214286,8.15,8.035714286,
1989,25.47,25.83142857,8.21,8.041428571,
1990,25.86,25.85285714,8.29,8.063571429,
1991,25.94,25.84071429,8.18,8.092857143,
1992,24.74,25.74214286,8.4,8.127142857,
1993,25.9,25.69571429,8.5,8.166428571,
1994,26.26,25.69142857,8.54,8.211428571,
1995,26.33,25.70142857,8.3,8.226428571,
1996,26.37,25.79642857,8.22,8.219285714,
1997,25.88,25.83071429,8.09,8.227857143,
1998,26.48,25.92285714,8.23,8.242857143,
1999,26.75,26.02214286,8.38,8.265,mecca
2000,26.62,26.09214286,7.95,8.257142857,0.994930573
2001,26.6,26.11,8.19,8.259285714,
2002,26.63,26.13071429,8.18,8.261428571,
2003,26.87,26.23071429,8.22,8.262142857,
2004,26.53,26.27857143,8.18,8.254285714,
2005,26.47,26.31642857,8.17,8.253571429,
2006,26.42,26.43642857,8.3,8.246428571,
2007,26.58,26.485,8.59,8.252857143,
2008,26.64,26.51214286,8.59,8.256428571,
2009,26.9,26.55285714,8.23,8.251428571,
2010,27.3,26.61928571,8.02,8.237142857,
2011,26.57,26.66857143,8.13,8.24,
2012,27.02,26.70714286,8.38,8.250714286,
2013,27.57,26.76571429,8.36,8.249285714,
